year,state_ut,geo_level,dropout_primary_boys,dropout_primary_girls,dropout_primary_total,dropout_secondary_boys,dropout_secondary_girls,dropout_secondary_total,dropout_upper_primary_boys,dropout_upper_primary_girls,dropout_upper_primary_total,dropout_preparatory_3_5_boys_nep,dropout_secondary_9_12_boys_nep,dropout_preparatory_3_5_girls_nep,dropout_secondary_9_12_girls_nep,dropout_preparatory_3_5_total_nep,dropout_secondary_9_12_total_nep,dropout_gap_upper_primary_girls_minus_boys,dropout_gap_secondary_girls_minus_boys,transition_5_to_6_total,transition_8_to_9_boys,transition_8_to_9_girls,transition_8_to_9_total,transition_10_to_11_total,non_transition_8_to_9_total,retention_elementary_total,retention_secondary_total,retention_secondary_girls,retention_middle_6_8_total_nep,retention_secondary_9_12_total_nep,promotion_secondary_total,repetition_secondary_total,ger_secondary_total,ger_secondary_girls,ger_upper_primary_total,ger_secondary_9_12_total_nep,ner_secondary_total,aser_age_14_15_total,gpi_ger_secondary,pct_func_electricity,pct_func_drinking_water,pct_func_girls_toilet,pct_func_boys_toilet,pct_func_toilet_any,pct_handwash,pct_library,pct_medical_checkup,pct_computer,pct_internet,pct_func_cwsn_toilet,pct_ramp,pct_kitchen_garden,pct_integrated_science_lab,pct_solar_panel,pct_smart_classroom,pct_digital_library,pct_govt_func_electricity,pct_govt_func_drinking_water,pct_govt_func_girls_toilet,pct_govt_internet,pct_govt_library,pct_govt_ramp,ptr_primary,ptr_upper_primary,ptr_secondary,ptr_higher_secondary,ptr_secondary_9_12_nep,ptr_overall,total_schools,total_enrolment,total_teachers,avg_enrolment_per_school,avg_teachers_per_school,pct_single_teacher_schools,pct_zero_enrolment_schools,pct_schools_enrolment_le30,pct_trained_teachers_secondary,pct_prof_qualified_secondary,pct_female_teachers,pct_govt_schools,pct_enrol_sc,pct_enrol_st,pct_enrol_obc,pct_enrol_muslim,girls_share_secondary_enrolment,girls_share_secondary_9_12_enrolment_nep,cwsn_share_elementary_enrolment
2023-24,Andaman and Nicobar Islands,UT,,,,,,,0.8,0.0,0.4,1.4,7.1,0.8,3.2,1.1,5.1,-0.8,,96.9,97.5,98.6,98.1,,1.9000000000000057,,,,95.8,77.4,,,,,93.9,88.6,,,,92.0,99.5,100.0,99.5,100.0,100.0,100.0,94.7,68.7,58.0,27.2,66.0,78.6,78.2,3.4,45.1,2.2,90.3,99.4,100.0,51.2,100.0,71.8,,9.0,,,9.0,13.0,412.0,72119.0,5750.0,175.0,14.0,2.669902912621359,0.7281553398058253,31.8,,,67.70434782608696,82.52427184466019,0.6,9.6,27.6,10.2,,50.35632708999543,
2023-24,Andhra Pradesh,State,,,,,,,1.3,0.8,1.1,1.3,11.7,1.0,8.6,1.2,10.1,-0.5,,95.5,96.9,97.6,97.2,,2.799999999999997,,,,100.0,54.7,,,,,101.5,79.2,,,,99.7,99.7,98.5,87.4,99.0,99.6,99.6,97.1,87.3,93.9,22.4,88.8,73.1,61.9,7.7,44.4,13.3,99.7,99.7,98.1,92.0,99.6,88.5,,16.0,,,15.0,26.0,61373.0,8741885.0,338293.0,142.0,6.0,20.54812376778062,0.13686800384533915,34.099999999999994,,,52.99222863021109,73.32214491714598,19.7,7.0,51.9,8.9,,49.053690800841274,
2023-24,Arunachal Pradesh,State,,,,,,,7.2,6.5,6.8,4.6,18.0,3.4,15.5,4.0,16.7,-0.7000000000000002,,88.5,78.6,80.5,79.6,,20.400000000000006,,,,47.1,19.0,,,,,89.3,57.0,,,,58.0,71.3,70.2,71.7,76.1,50.5,43.3,43.8,42.6,30.5,7.6,27.1,26.4,52.9,11.7,21.2,1.1,49.4,66.4,64.2,22.6,36.6,28.3,,7.0,,,13.0,13.0,3490.0,323717.0,24700.0,93.0,7.0,17.707736389684815,6.876790830945559,47.8,,,51.02834008097166,81.57593123209169,2.0,72.7,4.1,1.9,,51.66904937054978,
2023-24,Assam,State,,,,,,,10.3,6.1,8.2,8.1,19.4,5.5,19.5,6.8,19.5,-4.200000000000001,,85.0,79.5,85.4,82.6,,17.400000000000006,,,,65.0,24.4,,,,,91.2,56.3,,,,86.3,94.1,88.4,86.2,91.1,92.4,90.6,69.8,67.9,45.0,20.4,77.9,62.8,28.8,6.5,11.3,0.9,96.1,97.0,94.3,49.5,97.8,95.0,,13.0,,,14.0,20.0,56630.0,6922533.0,342199.0,122.0,6.0,4.649479074695391,0.0,21.299999999999997,,,43.48230123407725,79.47730884690094,7.2,15.0,26.6,41.2,,53.639312957851594,
2023-24,Bihar,State,,,,,,,26.0,25.9,25.9,13.8,21.2,13.6,20.5,13.7,20.9,-0.10000000000000142,,63.2,31.3,31.7,31.5,,68.5,,,,79.2,29.4,,,,,68.4,37.8,,,,78.3,93.3,92.3,90.8,94.3,81.6,60.3,29.4,19.6,18.5,14.7,51.3,18.0,23.0,9.2,12.1,1.3,77.3,93.0,91.8,11.8,58.8,54.9,,19.0,,,37.0,32.0,94686.0,21348149.0,657063.0,225.0,7.0,2.78499461377606,0.1235663139218047,3.0,,,42.430938890182524,82.50427729548191,18.9,1.9,64.4,18.8,,51.157125339175735,
2023-24,Chandigarh,UT,,,,,,,0.9,0.0,0.4,0.0,6.8,0.0,3.2,0.0,5.2,-0.9,,100.0,97.9,99.5,98.6,,1.4000000000000057,,,,100.0,100.0,,,,,121.1,109.5,,,,100.0,100.0,100.0,100.0,100.0,100.0,98.3,92.6,100.0,99.6,78.7,89.6,79.6,97.7,75.2,93.5,11.7,100.0,100.0,100.0,100.0,100.0,100.0,,15.0,,,17.0,26.0,230.0,265706.0,10237.0,1155.0,45.0,0.0,0.0,0.0,,,80.57047963270489,51.73913043478261,8.7,0.3,4.0,5.6,,46.76029055690073,
2023-24,Chhattisgarh,State,,,,,,,6.2,4.3,5.3,2.6,18.3,1.9,11.0,2.3,14.5,-1.9000000000000004,,94.2,83.1,87.8,85.4,,14.599999999999994,,,,84.7,44.7,,,,,90.2,64.1,,,,90.7,97.4,94.4,89.1,96.4,98.5,98.2,91.0,67.3,61.3,56.4,78.0,52.0,80.2,6.1,19.4,1.4,89.6,97.2,93.7,59.9,99.2,82.5,,15.0,,,19.0,21.0,56615.0,5776548.0,278798.0,102.0,5.0,10.315287467985517,0.19076216550384173,23.200000000000003,,,50.38558382771756,86.20153669522212,14.4,29.8,46.6,1.9,,53.00854768872378,
2023-24,Dadra and Nagar Haveli and Daman and Diu,UT,,,,,,,3.2,3.0,3.1,1.8,19.5,1.5,13.4,1.6,16.5,-0.20000000000000018,,97.6,93.3,95.1,94.2,,5.799999999999997,,,,95.2,68.6,,,,,107.7,79.2,,,,100.0,100.0,100.0,99.5,100.0,100.0,99.8,99.5,97.0,99.3,91.0,98.1,79.9,89.2,14.4,69.2,0.9,100.0,100.0,100.0,99.4,100.0,99.2,,26.0,,,22.0,28.0,432.0,141282.0,4995.0,327.0,12.0,0.23148148148148145,0.0,5.5,,,67.44744744744744,83.33333333333334,2.5,36.8,12.3,5.3,,49.282438230507466,
2023-24,Delhi,UT,,,,,,,0.6,0.6,0.6,0.5,12.3,0.0,8.3,0.0,10.4,0.0,,97.1,95.8,97.1,96.4,,3.5999999999999943,,,,100.0,80.9,,,,,115.0,91.0,,,,100.0,100.0,100.0,99.9,100.0,100.0,100.0,99.2,100.0,100.0,100.0,99.9,76.6,92.3,33.4,74.0,6.7,100.0,100.0,100.0,100.0,99.9,99.9,,28.0,,,20.0,28.0,5497.0,4506578.0,160479.0,820.0,29.0,0.2364926323449154,0.0,1.2,,,72.93539964730587,48.99035837729671,9.6,0.5,6.1,14.0,,47.994501920793674,
2023-24,Goa,State,,,,,,,1.2,1.0,1.1,0.7,10.0,1.3,5.4,1.0,7.8,-0.19999999999999996,,99.7,97.4,97.4,97.4,,2.5999999999999943,,,,92.8,74.1,,,,,115.3,100.3,,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.1,56.2,87.6,8.5,62.8,70.3,95.2,3.4,25.2,2.2,100.0,100.0,100.0,79.5,100.0,90.7,,14.0,,,11.0,21.0,1487.0,304735.0,14594.0,205.0,10.0,16.005379959650305,0.26899798251513113,32.9,,,81.33479512128272,53.059852051109615,1.9,8.6,11.4,12.7,,49.63235294117647,
